Country;ISO;Population [inhbs-1000];<5;5-10;10-15;15-20;20-25;>25;PM2.5 - ann. Avg.
Albania;AL;2.896;;0,0;24,2;72,8;2,2;0,8;16,5
Andorra;AD;73;0,5;2,7;96,7;;;;10,0
Austria;AT;8.507;0,4;13,0;54,0;32,5;;;12,9
Belgium;BE;11.204;;2,7;67,2;30,0;;;13,7
Bosnia and Herzegovina;BA;3.831;;1,7;47,9;47,4;3,0;;15,3
Bulgaria;BG;7.246;;0,9;8,4;12,0;33,4;45,2;24,0
Croatia;HR;4.247;;4,8;31,8;63,1;0,3;;15,6
Cyprus;CY;858;;;5,0;95;;;17,0
Czechia;CZ;10.512;;0,2;9,5;69,3;13,8;7,2;18,7
Denmark (incl. Faroe Islands);DK;5.627;0,4;4,2;95,4;;;;11,6
Estonia;EE;1.316;;94,9;5,1;;;;8,7
Finland;FI;5.451;1,1;98,4;0,5;;;;7,4
France (metropolitan);FR;63.989;0,0;31,5;67,4;1,1;;;11,0
Germany;DE;80.767;0,0;2,3;85,5;12,3;;;13,4
Greece;GR;10.927;;0,4;29,1;50,6;11,9;8,0;17,0
Hungary;HU;9.877;;;6,6;89,2;4,1;;17,3
Iceland;IS;326;9,6;90,4;;;;;6,6
Ireland;IE;4.606;1,2;76,5;22,2;;;;9,0
Italy;IT;60.783;0,0;3,7;44,5;32,2;19,5;;15,8
Latvia;LV;2.001;;10,6;38,2;51,2;;;14,1
Liechtenstein;LI;37;0,1;99,9;;;;;9,0
Lithuania;LT;2.943;;;28,5;71,5;;;15,5
Luxembourg;LU;550;;8,7;91,3;;;;11,9
Malta;MT;2066;;0;2,2;10,3;11,8;75,6;27,4
Monaco;MC;425;;0,4;99,6;;;;12,0
Montenegro;ME;38;;;100,0;;;;12,9
Netherlands;NL;622;;3,7;36,5;59,9;;;15,6
North Macedonia;MK;16.829;;0,0;98,7;1,3;;;13,8
Norway;NO;5.108;21,7;75,9;2,4;;;;7,2
Poland;PL;38.018;;;1,9;29,6;35,3;33,3;22,9
Portugal (excl. Azores, Madeira);PT;9.922;0,1;90,5;9,4;;;;8,7
Romania;RO;19.947;;0,1;28,9;47,5;20,1;3,5;17,5
San Marino;SM;33;;;100,0;;;;13,5
Serbia (incl. Kosovo*);RS;7.147;;0,1;3,1;30,5;41,9;24,4;22,4
Slovakia;SK;5.416;;;1,0;65,4;32,3;1,4;19,2
Slovenia;SI;2.061;;1,1;37,8;61,1;;;15,1
Spain (excl. Canarias);ES;44.397;0,1;43,6;55,1;1,2;0,0;;10,7
Sweden;SE;9.645;4,0;82,0;13,9;;;;7,6
Switzerland;CH;8.140;0,8;16,6;81,1;1,6;;;11,6
United Kingdom (& Crown dep.);UK;64.351;0,2;13,9;86,0;;;;11,6
Total without Turkey;;532.738;0,4;16,4;52,8;18,6;7,7;4,2;14,1
EU-28;;502.424;0,1;16,3;54,2;18,3;7,3;3,7;14,0
Kosovo*;KS;1 821;;0.0;2.4;15.3;15.1;67.3;26.4
Serbia (excl. Kosovo*);RS;7 147;;0.1;3.3;34.2;48.4;13.9;21.4