Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-50;>50;PM10 ann. Avg.
Albania;AL;2.892;0;6,2;29,3;63,8;0,6;;30,2
Andorra;AD;78;0,2;1,6;98,2;;;;24,7
Austria;AT;8.576;2,3;55,2;42,6;;;;18,7
Belgium;BE;11.237;;34,4;65,6;;;;20,4
Bosnia and Herzegovina;BA;3.825;0,1;18,7;41,5;39,7;0,0;;26,8
Bulgaria;BG;7.202;0,0;4,2;27,8;52,9;14,5;0,7;33,1
Croatia;HR;4.225;0,0;12,6;79,1;8,4;;;25,1
Cyprus;CY;1.173;;0,6;18,8;80,6;;;31,4
Czechia;CZ;10.538;0,0;17,8;74,0;8,2;;;23,3
Denmark (incl. Faroe Islands);DK;5.660;0,4;99,6;;;;;17,1
Estonia;EE;1.315;21,0;79,0;;;;;12,1
Finland;FI;5.472;61,8;38,2;;;;;9,1
France (metropolitan);FR;64.344;0,5;74,4;25,2;0,0;;;18,2
Germany;DE;81.198;0,1;92,9;7,0;;;;17,8
Greece;GR;10.858;;5,6;53,9;35,1;5,4;;28,7
Hungary;HU;9.856;;0,1;90,2;9,7;;;26,3
Iceland;IS;329;31,8;68,2;;;;;9,7
Ireland;IE;4.629;19,9;80,1;;;;;11,9
Italy;IT;60.796;0,2;9,0;65,7;25,2;;;26,6
Latvia;LV;1.986;1,3;80,0;18,7;;;;16,5
Liechtenstein;LI;37;0,1;99,9;;;;;16,3
Lithuania;LT;2.921;;64,8;35,2;;;;18,5
Luxembourg;LU;563;;92;7,7;;;;18,5
Malta;MT;2069;0;1,7;5;63,5;29,9;0;37,3
Monaco;MC;429;;1,3;99;;;;26,4
Montenegro;ME;38;;;100,0;;;;23,2
Netherlands;NL;622;0,3;17,0;57,7;22;3;;26,7
North Macedonia;MK;16.901;;85,1;14,9;;;;18,7
Norway;NO;5.166;40,7;59,3;;;;;11,1
Poland;PL;38.006;;4,4;44,1;50,1;1,3;;29,5
Portugal (excl. Azores, Madeira);PT;9.870;0,3;64,2;35,5;;;;18,7
Romania;RO;19.871;;5,5;76,8;17,7;;;25,7
San Marino;SM;33;;7,0;93,0;;;;24,6
Serbia (incl. Kosovo*);RS;8.919;0;3,8;25,9;67,4;2,9;0,0;32,7
Slovakia;SK;5.421;;1,1;81,7;17,2;;;26,3
Slovenia;SI;2.063;0,0;19,8;80,2;;;;23,3
Spain (excl. Canarias);ES;44.323;0,7;38,3;59,1;1,8;0,1;;21,6
Sweden;SE;9.747;20,9;79,1;;;;;13,3
Switzerland;CH;8.238;2,5;91,1;6,5;;;;17,4
United Kingdom (& Crown dep.);UK;64.875;1,9;98,1;0,0;;;;15,1
Total without Turkey;;536.303;3,5;31,9;35,7;14,2;12,6;2,2;36,9
EU-28;;504.055;3,1;32,8;36,6;14,7;11,5;1,4;36,2
Kosovo*;KS;1.805;0;4;18,6;64,8;12,6;0,1;34,8
Serbia (excl. Kosovo*);RS;7.114;;3,7;27,6;68,1;0,6;;32,2
;;;;;;;;;